# XV6-RISCV Comprehensive Memory Analysis Report
# Maps every kernel address to exact source file and line number
# Generated from: kernel/kernel

=== MEMORY LAYOUT WITH SOURCE ATTRIBUTION ===
Address            Size    Symbol           Source Location
0x0000000080001bc0     98 B growproc         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:249
0x0000000080001c22    270 B kfork            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:272
0x0000000080001d30    178 B scheduler        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:437
0x0000000080001de2    186 B sched            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:485
0x0000000080001e9c     44 B yield            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:506
0x0000000080001ec8     76 B sleep            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:555
0x0000000080001f14    106 B wakeup           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:586
0x0000000080001f7e     86 B reparent         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:323
0x0000000080001fd4    162 B kexit            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:339
0x0000000080002076    102 B kkill            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:605
0x00000000800020dc     36 B setkilled        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:626
0x0000000080002100     42 B killed           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:634
0x000000008000212a    244 B kwait            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:383
0x000000008000221e     74 B either_copyout   /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:648
0x0000000080002268     74 B either_copyin    /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:663
0x00000000800022b2    164 B procdump         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:678
0x0000000080002356    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/swtch.S:10
0x0000000080002356    ? B   swtch            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/swtch.S:10
0x00000000800023c0    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:21
0x00000000800023c0     36 B trapinit         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:20
0x00000000800023e4     28 B trapinithart     /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:27
0x0000000080002400    122 B prepare_return   /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:100
0x000000008000247a     84 B clockintr        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:165
0x00000000800024ce    116 B devintr          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:186
0x0000000080002542    270 B usertrap         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:38
0x0000000080002650    144 B kerneltrap       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:136
0x00000000800026e0    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:35
0x00000000800026e0     96 B argraw           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:34
0x0000000080002740     74 B fetchaddr        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:12
0x000000008000278a     64 B fetchstr         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:25
0x00000000800027ca     28 B argint           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:57
0x00000000800027e6     28 B argaddr          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:66
0x0000000080002802     40 B argstr           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:75
0x000000008000282a    100 B syscall          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:132
0x000000008000288e    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:12
0x000000008000288e     36 B sys_exit         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:11
0x00000000800028b2     22 B sys_getpid       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:20
0x00000000800028c8     20 B sys_fork         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:26
0x00000000800028dc     34 B sys_wait         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:32
0x00000000800028fe    124 B sys_sbrk         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:40
0x000000008000297a    160 B sys_pause        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:68
0x0000000080002a1a     34 B sys_kill         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:90
0x0000000080002a3c     58 B sys_uptime       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysproc.c:101
0x0000000080002a76    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/bio.c:38
0x0000000080002a76    134 B binit            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/bio.c:37
0x0000000080002afc    214 B bread            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/bio.c:93
0x0000000080002bd2     50 B bwrite           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/bio.c:107
0x0000000080002c04    132 B brelse           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/bio.c:117
0x0000000080002c88     52 B bpin             /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/bio.c:140
0x0000000080002cbc     52 B bunpin           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/bio.c:147
0x0000000080002cf0    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:94
0x0000000080002cf0    108 B bfree            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:93
0x0000000080002d5c    274 B balloc           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:67
0x0000000080002e6e    192 B bmap             /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:406
0x0000000080002f2e    172 B iget             /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:248
0x0000000080002fda     88 B iinit            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:183
0x0000000080003032    188 B ialloc           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:200
0x00000000800030ee    126 B iupdate          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:227
0x000000008000316c     54 B idup             /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:283
0x00000000800031a2    174 B ilock            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:294
0x0000000080003250     64 B iunlock          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:322
0x0000000080003290    148 B itrunc           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:449
0x0000000080003324    136 B iput             /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:338
0x00000000800033ac     32 B iunlockput       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:367
0x00000000800033cc    200 B ireclaim         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:374
0x0000000080003494    114 B fsinit           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:42
0x0000000080003506     46 B stati            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:481
0x0000000080003534    242 B readi            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:495
0x0000000080003626    260 B writei           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:529
0x000000008000372a     22 B namecmp          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:567
0x0000000080003740    172 B dirlookup        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:575
0x00000000800037ec    310 B namex            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:675
0x0000000080003922    170 B dirlink          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:603
0x00000000800039cc     26 B namei            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:710
0x00000000800039e6     24 B nameiparent      /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/fs.c:717
0x00000000800039fe    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/log.c:105
0x00000000800039fe     94 B write_head       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/log.c:104
0x0000000080003a5c    204 B install_trans    /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/log.c:67
0x0000000080003b28    126 B initlog          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/log.c:54
0x0000000080003ba6    106 B begin_op         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/log.c:128
0x0000000080003c10    288 B end_op           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/log.c:148
0x0000000080003d30    194 B log_write        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/log.c:216
0x0000000080003df2    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sleeplock.c:14
0x0000000080003df2     54 B initsleeplock    /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sleeplock.c:13
0x0000000080003e28     70 B acquiresleep     /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sleeplock.c:22
0x0000000080003e6e     56 B releasesleep     /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sleeplock.c:34
0x0000000080003ea6     74 B holdingsleep     /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sleeplock.c:44
0x0000000080003ef0    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:24
0x0000000080003ef0     36 B fileinit         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:23
0x0000000080003f14     94 B filealloc        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:30
0x0000000080003f72     70 B filedup          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:48
0x0000000080003fb8    190 B fileclose        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:60
0x0000000080004076     98 B filestat         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:88
0x00000000800040d8    190 B fileread         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:107
0x0000000080004196    306 B filewrite        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/file.c:135
0x00000000800042c8    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/pipe.c:24
0x00000000800042c8    200 B pipealloc        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/pipe.c:23
0x0000000080004390     88 B pipeclose        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/pipe.c:59
0x00000000800043e8    248 B pipewrite        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/pipe.c:77
0x00000000800044e0    244 B piperead         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/pipe.c:106
0x00000000800045d4    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/exec.c:14
0x00000000800045d4     32 B flags2perm       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/exec.c:13
0x00000000800045f4    856 B kexec            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/exec.c:27
0x000000008000494c    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:23
0x000000008000494c     88 B argfd            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:22
0x00000000800049a4     62 B fdalloc          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:40
0x00000000800049e2    314 B create           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:246
0x0000000080004b1c     76 B sys_dup          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:55
0x0000000080004b68     72 B sys_read         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:69
0x0000000080004bb0     72 B sys_write        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:83
0x0000000080004bf8     66 B sys_close        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:98
0x0000000080004c3a     58 B sys_fstat        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:111
0x0000000080004c74    254 B sys_link         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:124
0x0000000080004d72    406 B sys_unlink       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:189
0x0000000080004f08    342 B sys_open         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:305
0x000000008000505e     72 B sys_mkdir        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:374
0x00000000800050a6     96 B sys_mknod        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:390
0x0000000080005106    128 B sys_chdir        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:410
0x0000000080005186    268 B sys_exec         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:435
0x0000000080005292    220 B sys_pipe         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/sysfile.c:478
0x0000000080005370    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/kernelvec.S:14
0x0000000080005370    ? B   kernelvec        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/kernelvec.S:14
0x00000000800053ce    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/plic.c:13
0x00000000800053ce     26 B plicinit         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/plic.c:12
0x00000000800053e8     52 B plicinithart     /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/plic.c:20
0x000000008000541c     32 B plic_claim       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/plic.c:34
0x000000008000543c     38 B plic_complete    /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/plic.c:43
0x0000000080005462    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/virtio_disk.c:171
0x0000000080005462    118 B free_desc        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/virtio_disk.c:170
0x00000000800054d8    456 B virtio_disk_init /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/virtio_disk.c:62
0x00000000800056a0    524 B virtio_disk_rw   /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/virtio_disk.c:216
0x00000000800058ac    168 B virtio_disk_intr /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/virtio_disk.c:295
0x0000000080006000    ? B   _trampoline      unknown
0x0000000080006000    ? B   trampoline       unknown
0x0000000080006000    ? B   uservec          unknown
0x000000008000609c    ? B   userret          unknown
0x0000000080007000    ? B   etext            unknown
0x0000000080007710     17 B digits           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:26
0x0000000080007728     48 B states.0         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:680
